tragiczna tragická
trudna těžká
trzeźwa střízlivá
twarda tvrdá
twórcza tvořivá
tymczasowa dočasná
typowa typická
ufna důvěřivá
ulewna prudká
upalna horká
upiorna přízračná
uporczywa úporná
uprzejma zdvořilá
urocza kouzelná
urodziwa pohledná
uważna pozorná
użyteczna užitečná
ważka vážná
ważna důležitá
wąska úzká
wątła slabá
wczesna brzká
wdzięczna vděčná
wełniana vlněná
wesoła veselá
wędrowna potulná
widoczna viditelná
wieczna věčná
wiejska venkovská
wiekowa stoletá
wieloletnia mnohaletá
więzienna vězeňská
wilgotna vlhká
władcza mocná
właściwa správná
wojenna válečná
wrażliwa citlivá
wroga nepřátelská
wspaniałomyślna velkorysá
wspólna společná
wstrętna odporná
wszechobecna všudypřítomná
wszelka veškerá
wścibska zvědavá
wściekła zuřivá
wyborna výborná
wybuchowa výbušná
wydatna vydatná
wygodna pohodlná
wyjątkowa výjimečná
wymowna výmluvná
wyrazista výrazná
wyraźna zřetelná
wysoka vysoká
wytrawna zkušená
wzajemna vzájemná
zabawna zábavná
zabójcza vražedná
zacna ctnostná
zagadkowa záhadná
zależna závislá
zawiła spletitá
zbędna zbytečná
zbiorowa hromadná
zbrojna ozbrojená
zbyteczna zbytečná
zdolna schopná
zdradziecka zrádná
zdrowa zdravá
zgodna shodná
zgrabna ladná
zgrzytliwa skřípavá
zielonkawa nazelenalá
ziemska pozemská
zimna studená
złocista zlatá
złośliwa zlomyslná
złowieszcza zlověstná
złowroga zlověstná
zmienna proměnná
zmysłowa smyslná
znaczna značná
zręczna obratná
zupełna úplná
zwalista objemná
zwinna hbitá
zwrotna obratná
zwycięska vítězná
zwyczajna obyčejná
zwykła obyčejná
żałosna žalostná
żartobliwa žertovná
żądna dychtivá
żelazna železná
żołnierska vojenská
żółta žlutá
żydowska židovská
żylasta žilnatá
